cluster_id,cluster_total_attractiveness,total_road_length,total_road_number,normalized_attr,linear_arr
6,112.8135,599728.05,4751,0.0602,0.0141
9,11.0143,2029.39,20,1.7362,0.4509
18,5.3647,1168.06,15,1.4692,0.3813
0,560.1612,192658.33,1772,0.9301,0.2408
12,5.8079,1128.66,14,1.6461,0.4274
1,185.0221,250719.05,2328,0.2361,0.0600
27,1.7099,940.68,11,0.5815,0.1500
21,2.3413,6551.87,54,0.1143,0.0282
16,3.6970,596.78,10,1.9817,0.5148
14,3.7895,1162.15,10,1.0431,0.2703
26,2.4389,4417.10,27,0.1766,0.0445
19,3.8648,3282.92,16,0.3766,0.0966
22,1.8745,731.62,10,0.8196,0.2120
24,0.5688,12878.93,151,0.0141,0.0021
29,1.5806,3549.21,27,0.1425,0.0356
23,4.3101,3367.57,23,0.4094,0.1051
3,14.5004,1692.50,18,2.7407,0.7126
4,12.7844,1529.42,17,2.6740,0.6952
28,2.4577,2308.09,13,0.3406,0.0872
8,4.9645,726.34,10,2.1865,0.5682
25,2.2490,824.30,10,0.8728,0.2259
17,3.1968,882.79,11,1.1584,0.3003
30,2.6281,4540.21,29,0.1852,0.0467
5,6.5395,1503.75,10,1.3912,0.3610
32,1.7360,2034.10,20,0.2730,0.0696
15,4.3476,932.17,10,1.4920,0.3872
7,10.1626,2536.35,25,1.2817,0.3324
2,9.5271,792.92,11,3.8436,1.0000
20,1.8428,772.78,12,0.7628,0.1972
33,1.4276,2431.51,14,0.1878,0.0474
31,3.0387,3121.18,15,0.3114,0.0796
11,3.6905,1011.80,10,1.1668,0.3025
13,4.2251,811.24,10,1.6661,0.4326
34,0.1089,5879.00,45,0.0059,0.0000
10,2.9284,1297.37,13,0.7221,0.1866
