cluster_id,cluster_nbs
88,98 43 54
43,6 12 20 23 25 36 165 42 44 46 54 72 73 81 86 88 95 98 109 114 117
54,88 43 23
36,43 44
109,6 43 86 25 30 95
82,32 106 12 46 81 86
86,1 12 19 149 22 23 154 162 38 42 43 44 46 48 49 59 67 71 74 80 81 82 84 87 99 106 109 117
81,43 12 82 86 22
42,46 43 117 86
151,160 131 10 78 178 146 180 120 122
23,72 54 43 86
12,72 43 81 82 86
127,96 129 132 140 174 143 112 113 83 21 118 121 125 63
95,162 165 137 73 139 43 109 110 75 10 169 108 46 150 122 30 31
30,109 6 95
104,134 41 138 144 115 89 124
41,68 134 104 115 83 147 157 89 58 124 61
115,138 14 144 145 147 26 28 157 41 171 58 61 80 83 89 90 101 104 124
70,96 105 170 50 125
37,136 57 141 46
57,37 136 141 46 48 29
141,97 37 46 57 154 29
97,64 67 141 46 148 154 29
154,97 67 141 46 148 86
72,43 12 23
44,43 36 86
117,42 43 86
50,163 101 70 166 105 47 79 93 60 125
96,129 2 3 132 5 9 11 16 17 18 24 153 164 167 45 174 46 55 59 61 62 63 65 66 70 71 80 83 87 91 100 101 103 111 112 116 118 120 126 127
46,10 11 141 17 146 19 22 154 29 32 160 162 37 39 42 43 176 48 57 59 64 65 67 71 74 82 86 95 96 97 99 106
16,96 66 100 80 153 91 126
126,96 66 2 45 16 51 24 91
9,96 2 3 5 11 17 87 24
18,96 38 71 136 87 59
136,65 37 48 18 148 87 57 59
130,80 49 40 83
80,0 1 130 2 16 24 40 48 49 51 56 66 67 68 71 83 86 92 96 115
120,128 96 133 137 73 142 110 180 55 53 151 122
55,96 5 7 73 11 13 110 19 53 119 120 122 123
122,162 133 137 10 142 110 177 146 180 55 120 151 95
60,50 101
101,96 58 166 167 171 144 50 61 116 115 118 93 152 90 60 125 159
32,106 82 46
61,129 134 14 144 147 152 26 157 33 167 41 171 58 63 77 89 90 96 101 103 115 116 118 121 125
162,73 10 75 46 146 86 122 95
110,128 73 137 139 108 173 169 55 119 120 122 123 95
152,90 61 101
118,96 164 101 168 172 112 113 61 155 127 125 63
20,73 43 114 19
125,101 70 170 172 50 116 118 155 61 127
73,162 98 165 137 169 139 43 110 114 20 55 119 120 123 95
78,146 10 181 151
11,3 4 5 7 9 13 15 17 19 156 35 46 53 55 65 85 87 96 111
10,160 162 46 78 176 177 146 175 150 151 122 95 31
146,160 162 131 10 78 175 46 176 151 122
105,50 70
163,50
116,96 101 103 61 125
83,0 130 132 134 143 21 28 33 40 41 45 52 66 68 69 76 77 80 89 94 96 100 102 107 115 121 127
89,0 33 68 134 104 41 77 83 115 28 61
68,0 66 41 80 83 89
77,0 134 145 83 61 89 124 157
33,83 157 89 124 61
28,115 89 83
59,96 65 2 38 71 136 46 17 18 51 149 86 87 24 56
66,0 2 16 24 153 158 45 51 52 56 62 68 76 80 83 87 91 92 96 100 102 126
0,66 68 77 80 83 89
131,160 161 178 179 146 151
111,96 3 4 5 11
5,96 9 11 111 19 55 156
156,11 19 4 5
19,4 5 7 8 11 13 15 20 27 156 34 35 46 53 55 85 86 114 123
13,11 19 55
22,64 99 39 74 106 46 81 86
74,64 106 46 86 22
175,146 10
1,67 71 40 80 48 86
48,1 71 136 46 80 84 148 86 57
71,96 1 67 38 46 80 48 18 148 149 86 87 56 84 59 29
148,97 67 38 71 136 48 154 29
144,101 104 138 115 58 61
103,96 129 167 76 116 61 94
76,129 66 134 103 138 107 83 94
94,129 134 103 138 107 76 143 83
138,129 134 104 76 144 115 94
134,104 41 138 107 76 77 145 147 83 61 89 157 94
107,134 76 143 83 94
64,97 39 106 74 46 22
39,64 106 46 22
6,43 109 30
75,162 31 150 95
150,10 75 31 95
31,10 75 150 95
160,131 10 46 146 151
27,19
15,11 19 53 7
7,4 11 15 19 53 55
124,33 104 41 77 14 115 147
147,134 41 14 145 115 124 61
157,33 134 41 77 115 61
137,73 139 110 120 122 95
79,50
47,50 166
172,125 118
85,11 35 34 19
4,3 7 11 111 19 156
58,101 41 144 115 61
165,73 43 95
158,66 52
52,66 69 102 83 153 158 62
45,96 66 100 69 83 153 126 62
153,96 66 100 45 16 52 62
100,96 66 45 16 83 21 153
65,96 136 11 46 17 87 59
17,96 65 9 11 46 87 59
3,96 2 4 9 11 111 87
34,19 85
90,152 101 115 61
93,50 101 159
159,93 101
149,86 59 87 71
87,96 65 2 66 3 135 71 9 136 11 17 18 51 149 86 24 59
38,71 18 148 86 59
114,73 43 19 20 123
123,73 110 114 19 53 55
49,130 67 80 84 86
67,1 97 71 46 80 49 84 148 86 154 29
145,115 147 77 134
143,129 107 140 83 21 121 94 127
121,129 132 140 143 83 21 61 127
21,129 100 132 69 140 143 83 121 127 63
132,96 140 83 21 121 127
140,129 132 143 21 121 127
174,96 127
106,64 32 99 39 74 46 82 22 86
25,43 109
119,73 110 55
98,88 73 43
29,97 67 71 141 46 148 84 57
166,50 171 101 47
167,96 101 61 103
168,113 118
113,168 155 118 127
92,80 66
2,96 66 3 135 59 9 80 51 87 24 126 91 62
51,66 2 135 80 87 59 126
24,96 66 2 135 59 9 80 87 91 126
99,46 106 86 22
84,67 71 48 49 86 29
40,80 1 130 83
133,120 122
56,80 66 59 71
129,96 164 103 138 140 76 143 21 121 127 61 94 63
53,7 11 15 19 55 120 123
142,120 122
69,45 83 52 21
161,131
91,96 2 66 16 24 62 126
14,115 147 124 61
169,73 139 110 95
155,113 125 118
128,120 110
171,115 61 101 166
26,115 61
62,96 66 2 45 52 153 91
63,96 129 164 112 21 118 61 127
164,96 129 112 118 63
173,110
170,125 70
108,110 95
102,66 83 52
112,96 164 118 63 127
135,24 2 51 87
177,122 10
35,8 11 19 85
8,35 19
139,73 137 169 110 95
180,120 122 151
176,10 46 146
178,131 151
181,78
179,131
