cluster_id,cluster_total_pagerank,total_road_travel_time,total_road_number,cluster_attractiveness,Normalized_attractiveness,variance
0,57.21552000,2811.00000000,71,0.02035415,0.60729641,1.44231122
1,52.24278000,1570.00000000,70,0.03327566,1.00000000,0.23712880
2,48.17438000,2420.00000000,72,0.01990677,0.59369979,0.11149979
3,22.84923000,1478.00000000,70,0.01545956,0.45854256,0.02626148
4,33.16319300,1699.00000000,73,0.01951924,0.58192230,0.04083340
5,10.71867000,2119.00000000,73,0.00505836,0.14243481,0.01954036
6,45.48888000,4890.00000000,123,0.00930243,0.27141827,0.04399220
7,28.93955000,1810.00000000,77,0.01598870,0.47462395,0.06364191
8,18.90559000,1751.00000000,73,0.01079702,0.31684122,0.04924766
9,27.97407000,2259.00000000,72,0.01238339,0.36505310,0.09139823
10,32.51657000,2318.00000000,75,0.01402786,0.41503096,0.05838875
11,31.42712000,3011.00000000,97,0.01043744,0.30591280,0.05926416
12,185.21687400,174043.00000000,3705,0.00106420,0.02104638,0.00744744
13,24.98360000,3289.00000000,79,0.00759611,0.21956065,0.03338669
14,87.96454900,12919.00000000,322,0.00680893,0.19563710,0.03001929
15,20.30663000,2409.00000000,72,0.00842949,0.24488821,0.03055856
16,121.76508800,35787.00000000,643,0.00340249,0.09211056,0.02769902
17,41.81020000,112486.00000000,2278,0.00037169,0.00000000,0.00546117
18,17.85629000,2752.00000000,82,0.00648848,0.18589812,0.04292256
19,38.99391800,38590.00000000,1018,0.00101047,0.01941330,0.00986412
20,24.61501700,6293.00000000,135,0.00391149,0.10757972,0.01683178
21,16.98869600,8213.00000000,108,0.00206851,0.05156887,0.02414772
22,8.64269800,6741.00000000,154,0.00128211,0.02766891,0.00709848
