cluster_id,cluster_nbs
64,50 22 63
57,98 42 44 50 56
50,10 22 23 38 40 41 42 44 56 57 60 61 62 63 64 67 78 85 86 87 91 93 98 103 108 110 111 112
42,98 11 44 50 57
41,35 10 44 50 56
56,0 1 10 11 17 19 22 23 24 25 27 31 35 39 41 44 46 47 49 50 51 53 54 57 60 61 62 67 71 75 86 91 109 110
46,68 70 11 53 54 56
53,70 39 46 51 54 56 31
39,56 44 53
60,97 67 100 40 109 47 81 50 83 84 85 86 23 88 56
88,60 47
25,56 44 54
54,11 44 46 53 56 25
74,8 24
38,112 50
0,1 2 9 13 14 17 19 22 24 34 56 73 75 77 89 92 94 96 101 102
9,0 65 2 34 58 101 90 37 102 105 33 73 14 19 89 26 92 94
26,33 66 34 36 69 37 9 45 48 20 24 58
66,24 26
24,0 1 2 4 5 6 8 12 15 16 17 19 21 22 26 28 29 52 56 58 66 67 69 74 75 79 107
69,24 8 58 26
71,56 17 19 49
44,98 35 39 41 42 11 50 54 56 57 27 25
11,42 44 46 54 56
35,56 41 44
19,0 1 2 9 14 17 24 31 32 34 49 51 55 56 68 70 71 73 76 77 96
17,0 1 3 4 6 7 71 19 24 56
1,0 2 3 4 5 6 7 8 12 13 15 17 19 21 22 24 28 29 56 75 77 79 80 82
8,1 2 65 69 74 79 18 82 24 58 95
2,0 1 65 101 8 9 73 14 18 19 24 94 58 30 95
58,65 2 69 8 9 24 26
7,17 4 1
22,0 1 13 16 23 24 28 29 50 56 59 63 64 67 87 93 99 103 104 106 107 108
107,99 67 106 22 24 59
70,32 68 72 76 46 49 19 51 53 55 31
33,48 9 26
32,72 19 76 70
76,32 70 72 43 19
67,100 107 81 50 84 22 23 56 24 59 60 29
48,33 26
90,9 37
52,24
106,107 22
47,109 81 85 23 88 56 60
23,97 67 100 103 40 109 47 111 113 50 84 85 86 22 56 87 60
65,8 9 58 2
73,0 2 9 14 19
14,0 2 73 9 19
4,1 5 7 17 21 24
5,1 4 16 21 24
21,1 4 5 16 24
16,5 21 22 24 28
31,68 70 72 19 51 53 55 56
51,68 70 19 53 56 31
55,70 72 43 49 19 31
43,72 76 55
72,32 70 43 76 55 31
10,56 41 50 61
61,56 50 10 78
62,56 50 40 85
85,40 47 50 23 60 62
40,50 85 86 23 60 62
86,40 50 23 56 60
15,24 1 28 29
34,0 9 26 19
36,26
20,26
77,0 1 75 19
6,24 1 3 17
111,50 23
95,8 2
3,1 17 6
75,0 1 77 56 24
37,9 90 26
45,26
101,0 9 2
92,0 9
18,8 2 30
49,70 71 19 55 56
27,56 44
81,67 60 47
63,64 50 93 22
30,2 18
89,0 9
102,0 9
82,8 1 79
68,70 46 19 51 31
87,50 22 23
100,67 60 23
94,0 9 2
29,1 67 15 22 24
28,1 15 16 22 24
99,104 107 22
98,57 42 50 44
108,50 22
113,23
105,9
78,50 61
93,50 22 63
91,56 50
104,59 99 22
59,104 107 67 22
103,50 22 23
80,1 12
12,24 1 80
110,56 50
83,60
79,8 1 82 24
97,60 23
13,0 1 22
109,56 60 47 23
84,67 60 23
96,0 19
112,50 38
